# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_0
# Number of Series: 1
# Time Steps: 10001
#
TimeStep,Series_0
0,0
1,-0.00128
2,-0.0035
3,-0.00352
4,-0.00356
5,-0.00358
6,-0.00362
7,-0.00364
8,-0.00366
9,-0.0037
10,-0.0038
11,-0.00384
12,-0.00388
13,-0.0039
14,-0.00392
15,-0.00396
16,-0.00402
17,-0.00408
18,-0.0041
19,-0.0041
20,-0.00412
21,-0.00414
22,-0.00414
23,-0.00416
24,-0.00422
25,-0.00428
26,-0.00432
27,-0.00448
28,-0.00454
29,-0.00454
30,-0.00456
31,-0.00474
32,-0.00484
33,-0.00488
34,-0.00494
35,-0.00498
36,-0.00502
37,-0.00508
38,-0.00512
39,-0.0052
40,-0.00526
41,-0.00538
42,-0.0054
43,-0.00542
44,-0.00546
45,-0.0055
46,-0.00558
47,-0.00564
48,-0.0057
49,-0.00574
50,-0.00582
51,-0.00588
52,-0.00596
53,-0.0061
54,-0.00618
55,-0.0062
56,-0.00628
57,-0.00644
58,-0.0065
59,-0.00656
60,-0.0067
61,-0.00678
62,-0.00684
63,-0.0069
64,-0.00704
65,-0.00712
66,-0.00712
67,-0.00714
68,-0.0073
69,-0.00742
70,-0.00752
71,-0.00758
72,-0.00764
73,-0.0077
74,-0.00788
75,-0.00798
76,-0.00814
77,-0.00828
78,-0.00844
79,-0.00854
80,-0.00866
81,-0.00878
82,-0.0089
83,-0.00906
84,-0.00922
85,-0.0094
86,-0.0095
87,-0.00958
88,-0.00976
89,-0.00982
90,-0.00998
91,-0.01006
92,-0.01016
93,-0.01028
94,-0.01034
95,-0.01048
96,-0.01056
97,-0.01066
98,-0.0108
99,-0.01088
100,-0.01108
101,-0.0113
102,-0.01136
103,-0.01154
104,-0.0117
105,-0.01182
106,-0.01202
107,-0.01206
108,-0.0123
109,-0.01238
110,-0.01256
111,-0.0128
112,-0.0128
113,-0.01304
114,-0.0132
115,-0.01338
116,-0.0135
117,-0.0136
118,-0.01382
119,-0.01426
120,-0.01452
121,-0.01488
122,-0.01508
123,-0.01528
124,-0.01548
125,-0.01554
126,-0.01576
127,-0.01602
128,-0.01624
129,-0.01636
130,-0.0165
131,-0.01678
132,-0.01694
133,-0.0171
134,-0.0173
135,-0.01754
136,-0.01794
137,-0.01808
138,-0.01826
139,-0.01852
140,-0.01874
141,-0.01894
142,-0.01916
143,-0.01948
144,-0.0198
145,-0.01994
146,-0.02014
147,-0.0203
148,-0.02048
149,-0.02078
150,-0.02102
151,-0.02124
152,-0.02154
153,-0.02174
154,-0.02212
155,-0.02228
156,-0.02246
157,-0.02274
158,-0.023
159,-0.02326
160,-0.0229
161,-0.02326
162,-0.0235
163,-0.02156
164,-0.02018
165,-0.02048
166,-0.01638
167,-0.01268
168,-0.01284
169,-0.01296
170,-0.01304
171,-0.01312
172,-0.0111
173,-0.01068
174,-0.01026
175,-0.01068
176,-0.01074
177,-0.01078
178,-0.0118
179,-0.01188
180,-0.01196
181,-0.01202
182,-0.01204
183,-0.0122
184,-0.01226
185,-0.01238
186,-0.01266
187,-0.01274
188,-0.01284
189,-0.01292
190,-0.01302
191,-0.01312
192,-0.01322
193,-0.01338
194,-0.01348
195,-0.01358
196,-0.01368
197,-0.01376
198,-0.01392
199,-0.01398
200,-0.01416
201,-0.01428
202,-0.01436
203,-0.01446
204,-0.0146
205,-0.01468
206,-0.01476
207,-0.01504
208,-0.01508
209,-0.01534
210,-0.01542
211,-0.0156
212,-0.01574
213,-0.01584
214,-0.01592
215,-0.01608
216,-0.01624
217,-0.01644
218,-0.01654
219,-0.01664
220,-0.0168
221,-0.01694
222,-0.01716
223,-0.01732
224,-0.01748
225,-0.01758
226,-0.01778
227,-0.018
228,-0.01808
229,-0.0183
230,-0.0184
231,-0.01856
232,-0.01872
233,-0.01896
234,-0.01912
235,-0.01922
236,-0.01938
237,-0.01956
238,-0.01964
239,-0.0199
240,-0.02004
241,-0.02024
242,-0.02036
243,-0.02044
244,-0.02068
245,-0.02092
246,-0.02108
247,-0.02126
248,-0.0214
249,-0.02162
250,-0.0217
251,-0.02186
252,-0.022
253,-0.02222
254,-0.02246
255,-0.0227
256,-0.0229
257,-0.02312
258,-0.02344
259,-0.02374
260,-0.0239
261,-0.02426
262,-0.02464
263,-0.02482
264,-0.02512
265,-0.02534
266,-0.02556
267,-0.0257
268,-0.02602
269,-0.02632
270,-0.0266
271,-0.0268
272,-0.02704
273,-0.0273
274,-0.0275
275,-0.0278
276,-0.02808
277,-0.02838
278,-0.02858
279,-0.02886
280,-0.02904
281,-0.02922
282,-0.0295
283,-0.02982
284,-0.02996
285,-0.03036
286,-0.03052
287,-0.031
288,-0.03122
289,-0.0315
290,-0.03168
291,-0.03196
292,-0.03218
293,-0.0324
294,-0.03268
295,-0.03296
296,-0.03312
297,-0.03356
298,-0.03388
299,-0.03426
300,-0.03464
301,-0.03488
302,-0.03522
303,-0.03562
304,-0.03578
305,-0.03622
306,-0.03658
307,-0.037
308,-0.0373
309,-0.0377
310,-0.0381
311,-0.03838
312,-0.03864
313,-0.03892
314,-0.03926
315,-0.03958
316,-0.03988
317,-0.04028
318,-0.04044
319,-0.04072
320,-0.04114
321,-0.04148
322,-0.0418
323,-0.0422
324,-0.04254
325,-0.0428
326,-0.04314
327,-0.04366
328,-0.04394
329,-0.04426
330,-0.04476
331,-0.04514
332,-0.04548
333,-0.04594
334,-0.04638
335,-0.04678
336,-0.047
337,-0.04744
338,-0.04766
339,-0.04802
340,-0.04838
341,-0.04874
342,-0.04904
343,-0.04938
344,-0.04972
345,-0.05008
346,-0.05046
347,-0.05084
348,-0.0512
349,-0.05152
350,-0.05184
351,-0.05224
352,-0.0527
353,-0.05312
354,-0.05348
355,-0.05392
356,-0.0542
357,-0.05452
358,-0.05496
359,-0.05534
360,-0.05584
361,-0.05646
362,-0.05686
363,-0.05744
364,-0.05788
365,-0.05822
366,-0.05878
367,-0.0593
368,-0.0599
369,-0.06044
370,-0.06082
371,-0.06144
372,-0.0621
373,-0.06252
374,-0.06308
375,-0.06372
376,-0.06426
377,-0.06472
378,-0.06526
379,-0.06558
380,-0.06604
381,-0.06654
382,-0.06704
383,-0.06752
384,-0.06786
385,-0.06846
386,-0.06892
387,-0.0694
388,-0.0699
389,-0.07046
390,-0.0712
391,-0.07202
392,-0.07258
393,-0.07316
394,-0.07364
395,-0.07432
396,-0.07482
397,-0.07538
398,-0.07588
399,-0.07644
400,-0.07712
401,-0.07796
402,-0.07862
403,-0.07922
404,-0.08014
405,-0.08078
406,-0.08498
407,-0.08836
408,-0.0958
409,-0.09654
410,-0.09714
411,-0.09784
412,-0.0987
413,-0.09944
414,-0.10028
415,-0.10096
416,-0.10154
417,-0.10236
418,-0.10298
419,-0.10372
420,-0.10438
421,-0.10542
422,-0.10592
423,-0.10672
424,-0.10762
425,-0.10848
426,-0.10916
427,-0.10986
428,-0.1108
429,-0.11156
430,-0.11252
431,-0.11342
432,-0.11426
433,-0.11506
434,-0.11592
435,-0.11668
436,-0.11748
437,-0.11824
438,-0.11908
439,-0.11992
440,-0.12092
441,-0.12172
442,-0.12268
443,-0.1237
444,-0.12462
445,-0.12374
446,-0.12462
447,-0.1254
448,-0.12618
449,-0.12728
450,-0.12812
451,-0.12896
452,-0.13004
453,-0.13096
454,-0.13212
455,-0.13314
